number of points, dim, chunkSize, time
8, 32768, 512, 0.129376
8, 32768, 1024, 0.129152
8, 32768, 2048, 0.128832
8, 32768, 4096, 0.128640
8, 32768, 8192, 0.128768
16, 32, 4096, 0.113344
16, 32, 8192, 0.112960
16, 64, 2048, 0.037664
16, 64, 4096, 0.037088
16, 64, 8192, 0.037152
16, 128, 1024, 0.015648
16, 128, 2048, 0.016480
16, 128, 4096, 0.016896
16, 128, 8192, 0.016384
16, 256, 512, 0.012224
16, 256, 1024, 0.010528
16, 256, 2048, 0.010176
16, 256, 4096, 0.010016
16, 256, 8192, 0.009952
16, 512, 256, 0.010592
16, 512, 512, 0.008736
16, 512, 1024, 0.009056
16, 512, 2048, 0.008832
16, 512, 4096, 0.008928
16, 512, 8192, 0.009120
16, 1024, 128, 0.010560
16, 1024, 256, 0.010112
16, 1024, 512, 0.010016
16, 1024, 1024, 0.010304
16, 1024, 2048, 0.010112
16, 1024, 4096, 0.010304
16, 1024, 8192, 0.010176
16, 2048, 64, 0.010912
16, 2048, 128, 0.011264
16, 2048, 256, 0.011488
16, 2048, 512, 0.010624
16, 2048, 1024, 0.010944
16, 2048, 2048, 0.011200
16, 2048, 4096, 0.014144
16, 2048, 8192, 0.010464
16, 4096, 32, 0.012544
16, 4096, 64, 0.013056
16, 4096, 128, 0.012992
16, 4096, 256, 0.012896
16, 4096, 512, 0.017952
16, 4096, 1024, 0.013312
16, 4096, 2048, 0.013088
16, 4096, 4096, 0.012704
16, 4096, 8192, 0.013024
16, 8192, 32, 0.016672
16, 8192, 64, 0.016832
16, 8192, 128, 0.016736
16, 8192, 256, 0.017376
16, 8192, 512, 0.016416
16, 8192, 1024, 0.016864
16, 8192, 2048, 0.016608
16, 8192, 4096, 0.016608
16, 8192, 8192, 0.016896
16, 16384, 32, 0.077664
16, 16384, 64, 0.074656
16, 16384, 128, 0.077312
16, 16384, 256, 0.074944
16, 16384, 512, 0.076896
16, 16384, 1024, 0.075232
16, 16384, 2048, 0.076352
16, 16384, 4096, 0.075232
16, 16384, 8192, 0.076832
16, 32768, 32, 0.136736
16, 32768, 64, 0.140320
16, 32768, 128, 0.143392
16, 32768, 256, 0.136672
16, 32768, 512, 0.136064
16, 32768, 1024, 0.136544
16, 32768, 2048, 0.136448
16, 32768, 4096, 0.137056
16, 32768, 8192, 0.136352
32, 32, 4096, 0.436736
32, 32, 8192, 0.437216
32, 64, 2048, 0.140128
32, 64, 4096, 0.128704
32, 64, 8192, 0.127136
32, 128, 1024, 0.040192
32, 128, 2048, 0.039040
32, 128, 4096, 0.039040
32, 128, 8192, 0.038464
32, 256, 512, 0.018624
32, 256, 1024, 0.018656
32, 256, 2048, 0.016128
32, 256, 4096, 0.016672
32, 256, 8192, 0.016960
32, 512, 256, 0.014112
32, 512, 512, 0.011296
32, 512, 1024, 0.011232
32, 512, 2048, 0.011520
32, 512, 4096, 0.011424
32, 512, 8192, 0.011392
32, 1024, 128, 0.013248
32, 1024, 256, 0.012352
32, 1024, 512, 0.012832
32, 1024, 1024, 0.012000
32, 1024, 2048, 0.012608
32, 1024, 4096, 0.012640
32, 1024, 8192, 0.011936
32, 2048, 64, 0.014432
32, 2048, 128, 0.014240
32, 2048, 256, 0.014176
32, 2048, 512, 0.014208
32, 2048, 1024, 0.014656
32, 2048, 2048, 0.014816
32, 2048, 4096, 0.014592
32, 2048, 8192, 0.013984
32, 4096, 32, 0.018528
32, 4096, 64, 0.018560
32, 4096, 128, 0.018272
32, 4096, 256, 0.018624
32, 4096, 512, 0.024992
32, 4096, 1024, 0.018784
32, 4096, 2048, 0.018496
32, 4096, 4096, 0.018464
32, 4096, 8192, 0.018304
32, 8192, 32, 0.141856
32, 8192, 64, 0.137376
32, 8192, 128, 0.136672
32, 8192, 256, 0.136352
32, 8192, 512, 0.136928
32, 8192, 1024, 0.136864
32, 8192, 2048, 0.136640
32, 8192, 4096, 0.137024
32, 8192, 8192, 0.137120
32, 16384, 32, 0.095584
32, 16384, 64, 0.095456
32, 16384, 128, 0.095904
32, 16384, 256, 0.094816
32, 16384, 512, 0.095680
32, 16384, 1024, 0.095680
32, 16384, 2048, 0.095296
32, 16384, 4096, 0.095200
32, 16384, 8192, 0.095424
32, 32768, 32, 0.347520
32, 32768, 64, 0.348384
32, 32768, 128, 0.348480
32, 32768, 256, 0.348640
32, 32768, 512, 0.348672
32, 32768, 1024, 0.348512
32, 32768, 2048, 0.347456
32, 32768, 4096, 0.347584
32, 32768, 8192, 0.348576
64, 32, 4096, 1.733696
64, 32, 8192, 1.732544
64, 64, 2048, 0.484160
64, 64, 4096, 0.484224
64, 64, 8192, 0.483840
64, 128, 1024, 0.133888
64, 128, 2048, 0.133344
64, 128, 4096, 0.128576
64, 128, 8192, 0.128928
64, 256, 512, 0.044160
64, 256, 1024, 0.041312
64, 256, 2048, 0.042112
64, 256, 4096, 0.042976
64, 256, 8192, 0.042528
64, 512, 256, 0.024864
64, 512, 512, 0.027936
64, 512, 1024, 0.021696
64, 512, 2048, 0.021312
64, 512, 4096, 0.021408
64, 512, 8192, 0.021824
64, 1024, 128, 0.022208
64, 1024, 256, 0.022272
64, 1024, 512, 0.021920
64, 1024, 1024, 0.022400
64, 1024, 2048, 0.022272
64, 1024, 4096, 0.022208
64, 1024, 8192, 0.021792
64, 2048, 64, 0.029344
64, 2048, 128, 0.029280
64, 2048, 256, 0.029056
64, 2048, 512, 0.029344
64, 2048, 1024, 0.028992
64, 2048, 2048, 0.029440
64, 2048, 4096, 0.029376
64, 2048, 8192, 0.029120
64, 4096, 32, 0.269376
64, 4096, 64, 0.269152
64, 4096, 128, 0.266880
64, 4096, 256, 0.268544
64, 4096, 512, 0.268576
64, 4096, 1024, 0.268736
64, 4096, 2048, 0.267264
64, 4096, 4096, 0.269472
64, 4096, 8192, 0.267712
64, 8192, 32, 0.262656
64, 8192, 64, 0.265664
64, 8192, 128, 0.266528
64, 8192, 256, 0.264224
64, 8192, 512, 0.266080
64, 8192, 1024, 0.267136
64, 8192, 2048, 0.264160
64, 8192, 4096, 0.267040
64, 8192, 8192, 0.263968
64, 16384, 32, 0.311104
64, 16384, 64, 0.313120
64, 16384, 128, 0.310368
64, 16384, 256, 0.310656
64, 16384, 512, 0.310752
64, 16384, 1024, 0.311072
64, 16384, 2048, 0.310880
64, 16384, 4096, 0.311936
64, 16384, 8192, 0.310304
64, 32768, 32, 1.175072
64, 32768, 64, 1.175040
64, 32768, 128, 1.175552
64, 32768, 256, 1.851296
64, 32768, 512, 1.177792
64, 32768, 1024, 1.175680
64, 32768, 2048, 1.176128
64, 32768, 4096, 1.175264
64, 32768, 8192, 1.175616
128, 32, 4096, 6.933888
128, 32, 8192, 6.932928
128, 64, 2048, 1.914432
128, 64, 4096, 1.913952
128, 64, 8192, 1.914272
128, 128, 1024, 0.493984
128, 128, 2048, 0.488576
128, 128, 4096, 0.488800
128, 128, 8192, 0.487776
128, 256, 512, 0.141056
128, 256, 1024, 0.139456
128, 256, 2048, 0.139488
128, 256, 4096, 0.139488
128, 256, 8192, 0.140256
128, 512, 256, 0.062208
128, 512, 512, 0.059904
128, 512, 1024, 0.059584
128, 512, 2048, 0.060256
128, 512, 4096, 0.059296
128, 512, 8192, 0.059456
128, 1024, 128, 0.056320
128, 1024, 256, 0.056096
128, 1024, 512, 0.056352
128, 1024, 1024, 0.056192
128, 1024, 2048, 0.056448
128, 1024, 4096, 0.056864
128, 1024, 8192, 0.056576
128, 2048, 64, 0.510880
128, 2048, 128, 0.510432
128, 2048, 256, 0.510016
128, 2048, 512, 0.510464
128, 2048, 1024, 0.509344
128, 2048, 2048, 0.509024
128, 2048, 4096, 0.509952
128, 2048, 8192, 0.510528
