number of points, dim, version, break interval, time
10000, 200, naive break, 14, 24.724417
10000, 200, naive break, 15, 24.791840
10000, 200, naive break, 16, 23.927999
10000, 200, naive break, 17, 24.282751
10000, 200, naive break, 18, 24.337088
10000, 200, naive break, 19, 24.322657
10000, 200, naive break, 20, 24.314207
10000, 200, naive break, 21, 24.755873
10000, 200, naive break, 22, 24.307455
10000, 200, naive break, 23, 24.296097
10000, 200, naive break, 24, 24.649055
10000, 200, naive break, 25, 24.700960
10000, 200, naive break, 26, 24.715872
10000, 200, naive break, 27, 24.278816
10000, 200, naive break, 28, 24.351423
10000, 200, naive break, 29, 24.779264
10000, 200, naive break, 30, 24.739649
10000, 200, naive break, 31, 24.687231
10000, 200, naive break, 32, 24.189793
10000, 200, naive break, 33, 24.637535
10000, 200, naive break, 34, 24.682177
10000, 200, naive break, 35, 23.963520
10000, 200, naive break, 36, 24.764832
10000, 200, naive break, 37, 24.232767
10000, 200, naive break, 38, 24.300768
10000, 200, naive break, 39, 24.292192
10000, 200, naive break, 40, 24.767233
10000, 200, naive break, 41, 24.676895
10000, 200, naive break, 42, 24.204063
10000, 200, naive break, 43, 25.317600
10000, 200, naive break, 44, 24.477793
10000, 200, naive break, 45, 24.175327
10000, 200, naive break, 46, 24.605921
10000, 200, naive break, 47, 24.687391
10000, 200, naive break, 48, 23.980991
10000, 200, naive break, 49, 24.823521
10000, 200, naive break, 50, 24.138016
10000, 200, naive, 0, 1183.689575
10000, 200, naive break, 1, 24.516640
10000, 200, naive break, 2, 24.106016
10000, 200, naive break, 3, 24.522240
10000, 200, naive break, 4, 24.444639
10000, 200, naive break, 5, 24.052799
10000, 200, naive break, 6, 24.262465
10000, 200, naive break, 7, 25.362272
10000, 200, naive break, 8, 24.582369
10000, 200, naive break, 9, 24.139809
10000, 200, naive break, 10, 24.146688
10000, 200, naive break, 11, 24.695711
10000, 200, naive break, 12, 24.983456
10000, 200, naive break, 13, 24.586176
10000, 200, naive break, 14, 24.304672
10000, 200, naive break, 15, 24.236065
10000, 200, naive break, 16, 24.126335
10000, 200, naive break, 17, 24.121824
10000, 200, naive break, 18, 24.406113
10000, 200, naive break, 19, 24.391808
10000, 200, naive break, 20, 24.351999
10000, 200, naive break, 21, 24.321024
10000, 200, naive break, 22, 24.098240
10000, 200, naive break, 23, 24.364992
10000, 200, naive break, 24, 24.292896
10000, 200, naive break, 25, 23.964512
10000, 200, naive break, 26, 24.293760
10000, 200, naive break, 27, 24.470913
10000, 200, naive break, 28, 24.306784
10000, 200, naive break, 29, 24.302431
10000, 200, naive break, 30, 23.990208
10000, 200, naive break, 31, 23.970560
10000, 200, naive break, 32, 24.185152
10000, 200, naive break, 33, 24.342304
10000, 200, naive break, 34, 24.284832
10000, 200, naive break, 35, 23.973633
10000, 200, naive break, 36, 23.955296
10000, 200, naive break, 37, 24.167328
10000, 200, naive break, 38, 24.373665
10000, 200, naive break, 39, 24.298080
10000, 200, naive break, 40, 24.028896
10000, 200, naive break, 41, 24.044640
10000, 200, naive break, 42, 24.140160
10000, 200, naive break, 43, 24.265247
10000, 200, naive break, 44, 24.333248
10000, 200, naive break, 45, 23.948095
10000, 200, naive break, 46, 24.019745
10000, 200, naive break, 47, 24.189920
10000, 200, naive break, 48, 24.307713
10000, 200, naive break, 49, 24.301567
10000, 200, naive break, 50, 23.921633
